wkt_geom,Address,City,province,Country,result_num,osm_id,display_na,category,type,latlong
Point (-79.3864386216195328 43.65541185000000013),180 DUNDAS ST W,Toronto,ON,Canada,0,240839920,"The Dundas-Edward Centre, 180, Dundas Street West, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1C7, Canada",building,office,"43.65541185,-79.38643862161953"
Point (-79.36951899999999682 43.65083400000000324),180 FREDERICK ST,Toronto,ON,Canada,0,4035519926,"180, Frederick Street, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3Z4, Canada",place,house,"43.650834,-79.369519"
Point (-79.37898110000000429 43.65394719999999751),178 VICTORIA ST,Toronto,ON,Canada,0,5069657821,"Massey Hall, 178, Victoria Street, Garden District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2M6, Canada",amenity,theatre,"43.6539472,-79.3789811"
Point (-79.60531039999999336 43.74401369999999645),1780 ALBION RD,Toronto,ON,Canada,0,859686632,"1780, Albion Road, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9V 3Y6, Canada",place,house,"43.7440137,-79.6053104"
Point (-79.37442995000000678 43.65590960000000109),178 JARVIS ST,Toronto,ON,Canada,0,35155101,"Hazelburn Co-Op, 178, Jarvis Street, Garden District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 2B7, Canada",building,yes,"43.6559096,-79.37442995"
Point (-79.36709799999999859 43.64468800000000215),178 QUEENS QUAY E,Toronto,ON,Canada,0,4035519918,"178, Queens Quay East, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3Y5, Canada",place,house,"43.644688,-79.367098"
Point (-79.39269091959226898 43.65032839999999936),18 BEVERLEY ST,Toronto,ON,Canada,0,61698863,"18, Beverley Street, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1X5, Canada",building,apartments,"43.6503284,-79.39269091959227"
Point (-79.39128049999999348 43.70643635000000415),18 BROWNLOW AVE,Toronto,ON,Canada,0,31372872,"18, Brownlow Avenue, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 1K5, Canada",building,apartments,"43.706436350000004,-79.3912805"
Point (-79.37103199999999958 43.6505408000000017),179 KING ST E,Toronto,ON,Canada,0,6546010578,"Lift, 179, King Street East, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1J4, Canada",shop,hairdresser,"43.6505408,-79.371032"
Point (-79.32489870000000565 43.68801719999999733),179 QUEENSDALE AVE,Toronto,ON,Canada,0,803541162,"179, Queensdale Avenue, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4C 3C9, Canada",place,house,"43.6880172,-79.3248987"
Point (-79.39312398627649259 43.70980320000000319),177 REDPATH AVE,Toronto,ON,Canada,0,56495110,"Acadian Court, 177, Redpath Avenue, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 1G4, Canada",building,apartments,"43.7098032,-79.39312398627649"
Point (-79.60392140000000438 43.74376780000000053),1770 ALBION RD,Toronto,ON,Canada,0,859690553,"1770, Albion Road, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9V 3Y6, Canada",place,house,"43.7437678,-79.6039214"
Point (-79.42577640000000372 43.66605640000000221),177 PENDRITH ST,Toronto,ON,Canada,0,803152681,"177, Pendrith Street, Christie Pits, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1T3, Canada",place,house,"43.6660564,-79.4257764"
Point (-79.32578189999999552 43.6879129000000006),177 QUEENSDALE AVE,Toronto,ON,Canada,0,803541639,"177, Queensdale Avenue, Toronto—Danforth, East York, Toronto, Golden Horseshoe, Ontario, M4J 1Y3, Canada",place,house,"43.6879129,-79.3257819"
Point (-79.50382743589743484 43.70620399999999961),1779 JANE ST,Toronto,ON,Canada,0,32507449,"1779, Jane Street, York South—Weston, York, North York, Toronto, Golden Horseshoe, Ontario, M9N 2S4, Canada",building,apartments,"43.706204,-79.50382743589743"
Point (-79.36738990000000626 43.65061209999999647),178 FRONT ST E,Toronto,ON,Canada,0,4339594703,"Rehearsal Factory, 178, Front Street East, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1E6, Canada",amenity,studio,"43.6506121,-79.3673899"
